date|state|office|district|candidate|party|votes
11/08/2016|ALABAMA|FOR PRESIDENTIAL ELECTORS|||Republican|1318255
11/08/2016|ALABAMA|FOR PRESIDENTIAL ELECTORS||Democratic|729547
11/08/2016|ALABAMA|FOR PRESIDENTIAL ELECTORS||Independent|53858
11/08/2016|ALABAMA|FOR PRESIDENTIAL ELECTORS||Write-in|21712
11/08/2016|ALABAMA|FOR UNITED STATES SENATOR||Richard C. Shelby|Republican|1335104
11/08/2016|ALABAMA|FOR UNITED STATES SENATOR||Ron Crumpton|Democrat|748709
11/08/2016|ALABAMA|FOR UNITED STATES SENATOR||Write-in|3631
11/08/2016|ALABAMA|FOR UNITED STATES REPRESENTATIVE|1|Bradley Byrne|Republican|208083
11/08/2016|ALABAMA|FOR UNITED STATES REPRESENTATIVE|1|Write-in||7810
11/08/2016|ALABAMA|FOR UNITED STATES REPRESENTATIVE|2|Martha Roby|Republican|134886
11/08/2016|ALABAMA|FOR UNITED STATES REPRESENTATIVE|2|Nathan Mathis|Democrat|112089
11/08/2016|ALABAMA|FOR UNITED STATES REPRESENTATIVE|2|Write-in||29609
11/08/2016|ALABAMA|FOR UNITED STATES REPRESENTATIVE|3|Mike Rogers|Republican|192164
11/08/2016|ALABAMA|FOR UNITED STATES REPRESENTATIVE|3|Jesse Smith|Democrat|94549
11/08/2016|ALABAMA|FOR UNITED STATES REPRESENTATIVE|3|Write-in||391
11/08/2016|ALABAMA|FOR UNITED STATES REPRESENTATIVE|4|Robert B. Aderholt|Republican|235925
11/08/2016|ALABAMA|FOR UNITED STATES REPRESENTATIVE|4|Write-in||3519
11/08/2016|ALABAMA|FOR UNITED STATES REPRESENTATIVE|5|Mo Brooks|Republican|205647
11/08/2016|ALABAMA|FOR UNITED STATES REPRESENTATIVE|5|Will Boyd Jr.|Democrat|102234
11/08/2016|ALABAMA|FOR UNITED STATES REPRESENTATIVE|5|Write-in||445
11/08/2016|ALABAMA|FOR UNITED STATES REPRESENTATIVE|6|Gary J. Palmer|Republican|245313
11/08/2016|ALABAMA|FOR UNITED STATES REPRESENTATIVE|6|David J. Putman|Democrat|83709
11/08/2016|ALABAMA|FOR UNITED STATES REPRESENTATIVE|6|Write-in||284
11/08/2016|ALABAMA|FOR UNITED STATES REPRESENTATIVE|7|Terri A. Sewell|Democrat|229330
11/08/2016|ALABAMA|FOR UNITED STATES REPRESENTATIVE|7|Write-in||3698
11/08/2016|ALASKA|FOR PRESIDENTIAL ELECTORS|||Republican|163387
11/08/2016|ALASKA|FOR PRESIDENTIAL ELECTORS|||Democratic|116454
11/08/2016|ALASKA|FOR PRESIDENTIAL ELECTORS|||Libertarian|18725
11/08/2016|ALASKA|FOR PRESIDENTIAL ELECTORS|||Write-in|9201
11/08/2016|ALASKA|FOR PRESIDENTIAL ELECTORS|||Green|5735
11/08/2016|ALASKA|FOR PRESIDENTIAL ELECTORS|||Constitution|3866
11/08/2016|ALASKA|FOR PRESIDENTIAL ELECTORS|||Nonaffiliated|1240
11/08/2016|ALASKA|FOR UNITED STATES SENATOR||Lisa Murkowski|Republican|138149
11/08/2016|ALASKA|FOR UNITED STATES SENATOR||Ray Metcalfe|Democrat|36200
11/08/2016|ALASKA|FOR UNITED STATES SENATOR||Joe Miller|Libertarian|90825
11/08/2016|ALASKA|FOR UNITED STATES SENATOR||Margaret Stock|Nonaffiliated|41194
11/08/2016|ALASKA|FOR UNITED STATES SENATOR||Breck A. Craig|Nonaffiliated|2609
11/08/2016|ALASKA|FOR UNITED STATES SENATOR||Ted Gianoutsos|Nonaffiliated|1758
11/08/2016|ALASKA|FOR UNITED STATES SENATOR||Write-in||706
11/08/2016|ALASKA|FOR UNITED STATES REPRESENTATIVE|AT LARGE|Don Young|Republican|155088
11/08/2016|ALASKA|FOR UNITED STATES REPRESENTATIVE|AT LARGE|Steve Lindbeck|Democrat|111019
11/08/2016|ALASKA|FOR UNITED STATES REPRESENTATIVE|AT LARGE|Jim C. McDermott|Libertarian|31770
11/08/2016|ALASKA|FOR UNITED STATES REPRESENTATIVE|AT LARGE|Bernie Souphanavong|Nonaffiliated|9093
11/08/2016|ALASKA|FOR UNITED STATES REPRESENTATIVE|AT LARGE|Write-in||1228
11/08/2016|ARIZONA|FOR PRESIDENTIAL ELECTORS|||Republican|1252401
11/08/2016|ARIZONA|FOR PRESIDENTIAL ELECTORS|||Democratic|1161167
11/08/2016|ARIZONA|FOR PRESIDENTIAL ELECTORS|||Libertarian|106327
11/08/2016|ARIZONA|FOR PRESIDENTIAL ELECTORS|||Green|34345
11/08/2016|ARIZONA|FOR PRESIDENTIAL ELECTORS|||Write-in (Independent)|17473
11/08/2016|ARIZONA|FOR PRESIDENTIAL ELECTORS|||Write-in (Constitution)|1058
11/08/2016|ARIZONA|FOR PRESIDENTIAL ELECTORS|||Write-in (None)|311
11/08/2016|ARIZONA|FOR PRESIDENTIAL ELECTORS|||Write-in (Democratic)|42
11/08/2016|ARIZONA|FOR PRESIDENTIAL ELECTORS|||Write-in (American Delta)|29
11/08/2016|ARIZONA|FOR PRESIDENTIAL ELECTORS|||Write-in (We the People)|12
11/08/2016|ARIZONA|FOR UNITED STATES SENATOR||John McCain|Republican|1359267
11/08/2016|ARIZONA|FOR UNITED STATES SENATOR||Ann Kirkpatrick|Democrat|1031245
11/08/2016|ARIZONA|FOR UNITED STATES SENATOR||Gary Swing|Green|138634
11/08/2016|ARIZONA|FOR UNITED STATES SENATOR||Pat Quinn|Write-in (Independent)|694
11/08/2016|ARIZONA|FOR UNITED STATES SENATOR||Sydney Dudikoff|Write-in (Republican)|494
11/08/2016|ARIZONA|FOR UNITED STATES SENATOR||Selena Lopez|Write-in (Independent)|223
11/08/2016|ARIZONA|FOR UNITED STATES SENATOR||Leonard Clark|Write-in (Independent)|83
11/08/2016|ARIZONA|FOR UNITED STATES SENATOR||Anthony Camboni|Write-in (None)|45
11/08/2016|ARIZONA|FOR UNITED STATES SENATOR||Sheila Bilyeu|Write-in (Democratic)|34
11/08/2016|ARIZONA|FOR UNITED STATES SENATOR||Gene Scott II|Write-in (Democratic)|7
11/08/2016|ARIZONA|FOR UNITED STATES SENATOR||Santos Chavez|Write-in (None)|4
11/08/2016|ARIZONA|FOR UNITED STATES REPRESENTATIVE|1|Paul Babeu|Republican|121745
11/08/2016|ARIZONA|FOR UNITED STATES REPRESENTATIVE|1|Tom O’Halleran|Democrat|142219
11/08/2016|ARIZONA|FOR UNITED STATES REPRESENTATIVE|1|Ray Parrish|Green|16746
11/08/2016|ARIZONA|FOR UNITED STATES REPRESENTATIVE|2|Martha McSally|Republican|179806
11/08/2016|ARIZONA|FOR UNITED STATES REPRESENTATIVE|2|Matt Heinz|Democrat|135873
11/08/2016|ARIZONA|FOR UNITED STATES REPRESENTATIVE|3|Raúl M. Grijalva|Democrat|148973
11/08/2016|ARIZONA|FOR UNITED STATES REPRESENTATIVE|3|Bill Abatecola|Write-in (Republican)|1303
11/08/2016|ARIZONA|FOR UNITED STATES REPRESENTATIVE|3|Jaime Vasquez|Write-in (Republican)|332
11/08/2016|ARIZONA|FOR UNITED STATES REPRESENTATIVE|3|Harvey Martin|Write-in (Democratic)|283
11/08/2016|ARIZONA|FOR UNITED STATES REPRESENTATIVE|3|Federico A. Sanchez|Write-in (Independent)|144
11/08/2016|ARIZONA|FOR UNITED STATES REPRESENTATIVE|4|Paul A. Gosar|Republican|203487
11/08/2016|ARIZONA|FOR UNITED STATES REPRESENTATIVE|4|Mikel Weisser|Democrat|81296
11/08/2016|ARIZONA|FOR UNITED STATES REPRESENTATIVE|5|Andy Biggs|Republican|205184
11/08/2016|ARIZONA|FOR UNITED STATES REPRESENTATIVE|5|Talia Fuentes|Democrat|114940
11/08/2016|ARIZONA|FOR UNITED STATES REPRESENTATIVE|6|David Schweikert|Republican|201578
11/08/2016|ARIZONA|FOR UNITED STATES REPRESENTATIVE|6|W. John Williamson|Democrat|122866
11/08/2016|ARIZONA|FOR UNITED STATES REPRESENTATIVE|7|Eve Nunez|Republican|39286
11/08/2016|ARIZONA|FOR UNITED STATES REPRESENTATIVE|7|Ruben Gallego|Democrat|119465
11/08/2016|ARIZONA|FOR UNITED STATES REPRESENTATIVE|7|Neil B. Westbrooks|Write-in (Green)|60
